,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
0,0,45,1,3,12,1,3,Blue,5,1,3,12691.0,777,1.335,1144,1.625,0.061
1,0,49,0,5,16,0,1,Blue,6,1,2,8256.0,864,1.541,1291,3.714,0.105
2,0,51,1,3,16,1,4,Blue,4,1,0,3418.0,0,2.594,1887,2.333,0.0
3,0,40,0,4,12,9,1,Blue,3,4,1,3313.0,2517,1.405,1171,2.333,0.76
4,0,40,1,3,0,1,3,Blue,5,1,0,4716.0,0,2.175,816,2.5,0.0
5,0,44,1,2,16,1,2,Blue,3,1,2,4010.0,1247,1.376,1088,0.846,0.311
6,0,51,1,4,99,1,5,Gold,6,1,3,34516.0,2264,1.975,1330,0.722,0.066
7,0,32,1,0,12,9,3,Silver,2,2,2,29081.0,1396,2.204,1538,0.714,0.048
8,0,37,1,3,0,0,3,Blue,5,2,0,22352.0,2517,3.355,1350,1.182,0.113
9,0,48,1,2,16,0,4,Blue,6,3,3,11656.0,1677,1.524,1441,0.882,0.144
10,0,42,1,5,0,9,5,Blue,5,3,2,6748.0,1467,0.831,1201,0.68,0.217
11,0,65,1,1,99,1,2,Blue,6,2,3,9095.0,1587,1.433,1314,1.364,0.174
12,0,56,1,1,15,0,4,Blue,3,6,0,11751.0,0,3.397,1539,3.25,0.0
13,0,35,1,3,16,9,3,Blue,5,1,3,8547.0,1666,1.163,1311,2.0,0.195
14,0,57,0,2,16,1,1,Blue,5,2,2,2436.0,680,1.19,1570,0.611,0.279
15,0,44,1,4,99,9,4,Blue,5,1,2,4234.0,972,1.707,1348,1.7,0.23
16,0,48,1,4,18,0,4,Blue,6,2,3,30367.0,2362,1.708,1671,0.929,0.078
17,0,41,1,3,99,1,4,Blue,4,4,1,13535.0,1291,0.653,1028,1.625,0.095
18,0,61,1,1,12,1,2,Blue,2,2,3,3193.0,2517,1.831,1336,1.143,0.788
19,0,45,0,2,16,1,9,Blue,6,1,2,14470.0,1157,0.966,1207,0.909,0.08
20,0,47,1,1,22,3,3,Blue,5,2,0,20979.0,1800,0.906,1178,0.929,0.086
21,1,62,0,0,16,1,1,Blue,2,3,3,1438.3,0,1.047,692,0.6,0.0
22,0,41,1,3,12,1,2,Blue,4,2,1,4470.0,680,1.608,931,1.571,0.152
23,0,47,0,4,99,0,1,Blue,3,3,2,2492.0,1560,0.573,1126,0.353,0.626
24,0,54,1,2,99,1,4,Blue,4,2,3,12217.0,0,1.075,1110,0.75,0.0
25,0,41,0,3,16,0,1,Blue,6,1,2,7768.0,1669,0.797,1051,0.833,0.215
26,0,59,1,1,12,9,2,Blue,4,1,2,14784.0,1374,0.921,1197,1.3,0.093
27,0,63,1,1,99,1,3,Blue,3,3,2,10215.0,1010,0.843,1904,1.0,0.099
28,0,44,0,3,0,0,9,Blue,5,2,2,10100.0,0,0.525,1052,1.571,0.0
29,0,47,1,4,12,1,2,Blue,6,0,0,4785.0,1362,0.739,1045,0.9,0.285
30,0,53,1,3,99,1,4,Blue,3,2,3,2753.0,1811,0.977,1038,2.571,0.658
31,0,53,1,2,0,1,3,Blue,2,5,1,2451.0,1690,1.323,1596,1.6,0.69
32,0,41,1,4,16,1,3,Blue,4,1,2,8923.0,2517,1.726,1589,1.667,0.282
33,0,53,0,2,15,1,1,Blue,5,2,3,2650.0,1490,1.75,1411,1.0,0.562
34,0,58,1,0,16,1,4,Blue,6,2,2,12555.0,1696,0.519,1291,0.714,0.135
35,0,55,0,1,15,0,1,Blue,4,2,1,3520.0,1914,0.51,1407,0.483,0.544
36,0,55,0,3,16,1,1,Blue,6,2,3,3035.0,2298,1.724,1877,1.176,0.757
37,0,42,0,4,12,1,1,Gold,2,3,3,15433.0,0,0.865,966,1.2,0.0
38,0,57,0,1,16,9,2,Blue,3,3,2,3672.0,886,1.32,1464,0.556,0.241
39,1,66,0,0,22,1,9,Blue,5,4,3,7882.0,605,1.052,704,0.143,0.077
40,0,45,1,3,16,0,4,Blue,2,2,2,32426.0,578,1.042,1109,0.474,0.018
41,0,51,1,2,99,1,2,Blue,4,1,0,6205.0,2204,0.803,1347,0.556,0.355
42,0,50,0,1,15,0,2,Silver,3,2,3,17304.0,2517,1.449,1756,1.2,0.145
43,0,49,1,3,12,1,3,Blue,5,2,1,3906.0,0,1.214,1756,1.0,0.0
44,0,38,0,4,16,0,9,Blue,2,3,3,9830.0,2055,0.977,1042,0.917,0.209
45,0,49,1,4,0,0,4,Blue,3,2,3,34516.0,0,1.621,1444,1.333,0.0
46,0,56,1,2,22,1,3,Blue,6,2,0,2283.0,1430,2.316,1741,0.588,0.626
47,0,59,1,1,22,1,2,Blue,3,2,2,2548.0,2020,2.357,1719,1.7,0.793
48,0,46,1,3,12,1,4,Blue,4,3,3,19458.0,1435,0.787,1217,0.8,0.074
49,0,52,1,1,15,0,4,Blue,5,1,1,4745.0,1227,0.624,1140,0.6,0.259
50,0,52,0,3,99,1,1,Blue,6,3,2,2622.0,1549,1.321,1878,1.143,0.591
51,1,54,0,1,16,1,1,Blue,2,3,1,1438.3,808,0.997,705,0.9,0.562
52,0,66,0,0,12,1,1,Blue,3,4,2,3171.0,2179,1.224,1946,1.923,0.687
53,0,49,1,2,99,1,5,Blue,4,2,0,19763.0,2517,0.664,1414,0.25,0.127
54,1,56,1,2,16,1,5,Blue,1,3,3,15769.0,0,1.041,602,0.364,0.0
55,0,49,0,4,16,9,1,Blue,6,4,2,3298.0,2200,0.678,1052,0.6,0.667
56,0,49,0,3,16,0,1,Blue,2,2,0,2802.0,2363,0.75,1295,0.6,0.843
57,0,56,1,2,0,1,2,Blue,4,2,3,4458.0,1880,1.107,1424,1.417,0.422
58,0,44,0,5,16,1,9,Blue,4,1,2,6273.0,978,2.275,1359,1.083,0.156
59,0,42,1,2,12,0,3,Blue,4,4,3,3336.0,1753,0.69,1168,1.25,0.525
60,0,55,1,3,99,1,4,Blue,4,2,3,3436.0,2016,0.901,1097,0.833,0.587
61,1,48,1,2,16,1,3,Silver,2,4,4,34516.0,0,0.763,691,0.5,0.0
62,0,39,1,1,12,3,3,Blue,5,3,3,5926.0,1251,0.944,1316,1.154,0.211
63,0,44,1,4,18,0,5,Blue,2,4,2,23957.0,2102,0.997,1276,0.733,0.088
64,0,53,1,2,12,0,5,Blue,4,2,2,14734.0,1634,0.989,1289,0.917,0.111
65,0,51,1,4,0,0,4,Silver,4,1,4,34516.0,1515,0.592,1293,0.6,0.044
66,0,57,1,2,15,1,3,Blue,5,3,3,6584.0,1817,0.62,1353,0.667,0.276
67,0,44,0,2,0,0,1,Blue,6,3,3,2084.0,1468,1.004,1132,0.556,0.704
68,0,49,1,2,16,1,3,Blue,2,2,2,1687.0,1107,1.715,1670,2.4,0.656
69,0,50,1,2,22,1,4,Blue,6,2,2,25300.0,1330,1.072,837,2.0,0.053
70,0,51,1,4,16,0,5,Blue,3,2,3,34516.0,1763,1.266,1550,1.05,0.051
71,0,55,0,2,16,1,1,Blue,5,3,3,2216.0,1034,0.758,1540,0.286,0.467
72,0,54,1,1,16,9,3,Blue,4,2,3,2910.0,2030,0.769,1256,0.4,0.698
73,0,42,1,5,0,1,4,Blue,6,2,2,22913.0,1528,0.414,1394,0.522,0.067
74,0,44,1,1,15,0,3,Blue,3,3,3,24312.0,1932,1.312,1341,1.182,0.079
75,0,53,1,2,16,0,4,Blue,5,3,2,5272.0,1515,0.857,1289,0.435,0.287
76,0,44,0,4,16,0,1,Blue,6,4,2,7000.0,2517,0.475,1112,1.875,0.36
77,0,37,0,3,0,0,1,Blue,4,4,2,7038.0,1801,0.751,2339,0.966,0.256
78,0,49,1,3,16,3,3,Blue,6,1,2,2536.0,1823,0.703,1468,0.353,0.719
79,0,47,1,2,16,1,4,Blue,6,3,2,28904.0,1899,0.85,1334,0.4,0.066
80,0,47,1,3,16,1,3,Blue,4,4,0,8567.0,1695,1.242,1457,1.412,0.198
81,0,44,1,1,99,9,5,Blue,6,2,2,34516.0,1533,0.924,1603,0.526,0.044
82,1,55,0,4,99,1,2,Blue,2,4,3,2158.0,0,0.585,615,0.714,0.0
83,0,59,0,1,16,1,9,Blue,2,3,3,10133.0,1417,0.383,1068,0.818,0.14
84,0,53,1,1,16,3,4,Blue,5,4,2,34516.0,1219,1.129,1590,2.0,0.035
85,0,52,1,2,16,1,3,Blue,5,3,0,3085.0,1910,0.921,1531,0.667,0.619
86,0,53,1,2,12,0,5,Blue,4,2,1,19040.0,2056,0.607,1212,0.722,0.108
87,0,43,0,3,0,0,1,Blue,5,2,3,4026.0,0,0.483,1237,0.6,0.0
88,0,44,1,3,12,0,3,Blue,4,3,1,12756.0,837,1.932,1413,1.8,0.066
89,0,57,1,2,99,1,5,Blue,5,3,3,5266.0,0,1.702,1516,1.636,0.0
90,0,51,0,2,12,0,1,Blue,3,2,2,9930.0,0,0.731,1276,1.333,0.0
91,0,49,1,4,12,0,4,Blue,4,3,0,31302.0,1953,0.875,1564,2.182,0.062
92,0,45,1,1,16,0,2,Blue,4,4,3,6576.0,0,0.579,1465,0.619,0.0
93,0,53,1,0,16,0,4,Blue,5,4,1,2664.0,2037,0.85,1286,0.933,0.765
94,0,45,0,3,99,1,9,Blue,5,1,2,2535.0,2440,1.705,1312,1.222,0.963
95,0,64,1,1,16,1,1,Blue,6,4,3,1709.0,895,1.656,1673,0.882,0.524
96,0,45,1,3,16,1,2,Blue,5,4,2,3454.0,1200,0.597,1313,0.304,0.347
97,0,53,1,3,22,1,2,Blue,5,3,2,3789.0,1706,1.047,1609,0.68,0.45
98,0,56,1,3,15,1,5,Blue,3,2,0,9689.0,2250,0.576,1158,0.727,0.232
99,1,47,1,2,99,1,4,Blue,2,3,3,5449.0,1628,0.696,836,0.385,0.299
100,0,49,0,3,15,0,9,Blue,4,4,0,23032.0,1960,0.619,1289,1.0,0.085
101,0,41,0,3,99,1,9,Silver,5,3,3,34516.0,2053,1.034,1487,0.733,0.059
102,0,53,1,3,16,1,5,Blue,6,2,2,2940.0,1264,0.562,1259,0.5,0.43
103,0,44,0,2,16,0,1,Blue,3,3,3,3031.0,1879,0.788,1298,1.5,0.62
104,0,44,1,3,12,9,3,Blue,3,3,0,1862.0,0,0.883,1226,0.789,0.0
105,0,43,0,4,18,1,1,Blue,2,3,3,8358.0,926,0.762,1566,0.542,0.111
106,0,53,1,2,18,0,5,Blue,6,1,2,34516.0,931,0.828,1022,1.1,0.027
